date,origin,dest,pct_leavers,netflow,origin_lat,origin_lon,dest_lat,dest_lon,origin_city,dest_city
2017/1/1,"Indianapolis, IN","Seattle, WA",4.70%,-46,39.7771,-86.1458,47.6211,-122.3244,Indianapolis,Seattle
2017/1/1,"Indianapolis, IN","Washington, DC",4.60%,-46,39.7771,-86.1458,38.9047,-77.0163,Indianapolis,Washington
2017/1/1,"Indianapolis, IN","Louisville, KY",4.10%,-46,39.7771,-86.1458,38.1663,-85.6485,Indianapolis,Louisville
2017/1/1,"Indianapolis, IN","Denver, CO",3.60%,-46,39.7771,-86.1458,39.762,-104.8758,Indianapolis,Denver
2017/1/1,"Indianapolis, IN","Nashville, TN",3.10%,-46,39.7771,-86.1458,36.1715,-86.7842,Indianapolis,Nashville
2017/1/1,"Indianapolis, IN","Phoenix, AZ",2.30%,-46,39.7771,-86.1458,33.5722,-112.0892,Indianapolis,Phoenix
2017/1/1,"Indianapolis, IN","Tampa, FL",2.10%,-46,39.7771,-86.1458,27.9945,-82.4447,Indianapolis,Tampa
2017/1/1,"Indianapolis, IN","San Jose, CA",2.00%,-46,39.7771,-86.1458,37.3012,-121.848,Indianapolis,San Jose
2017/1/1,"Jacksonville, FL","Washington, DC",12.80%,379,30.3322,-81.6749,38.9047,-77.0163,Jacksonville,Washington
2017/1/1,"Jacksonville, FL","Orlando, FL",8.50%,379,30.3322,-81.6749,28.4773,-81.337,Jacksonville,Orlando
2017/1/1,"Jacksonville, FL","Seattle, WA",7.50%,379,30.3322,-81.6749,47.6211,-122.3244,Jacksonville,Seattle
2017/1/1,"Jacksonville, FL","Atlanta, GA",7.10%,379,30.3322,-81.6749,33.7628,-84.422,Jacksonville,Atlanta
2017/1/1,"Jacksonville, FL","Miami, FL",5.30%,379,30.3322,-81.6749,25.784,-80.2101,Jacksonville,Miami
2017/1/1,"Jacksonville, FL","Chicago, IL",4.60%,379,30.3322,-81.6749,41.8375,-87.6866,Jacksonville,Chicago
2017/1/1,"Jacksonville, FL","Los Angeles, CA",4.30%,379,30.3322,-81.6749,34.1141,-118.4068,Jacksonville,Los Angeles
2017/1/1,"Jacksonville, FL","Tampa, FL",3.90%,379,30.3322,-81.6749,27.9945,-82.4447,Jacksonville,Tampa
2017/1/1,"Jacksonville, FL","New York, NY",3.60%,379,30.3322,-81.6749,40.6943,-73.9249,Jacksonville,New York
2017/1/1,"Jacksonville, FL","San Diego, CA",3.60%,379,30.3322,-81.6749,32.8313,-117.1222,Jacksonville,San Diego
2017/1/1,"Knoxville, TN","Nashville, TN",43.00%,-50,35.9692,-83.9496,36.1715,-86.7842,Knoxville,Nashville
2017/1/1,"Knoxville, TN","Seattle, WA",5.60%,-50,35.9692,-83.9496,47.6211,-122.3244,Knoxville,Seattle
2017/1/1,"Las Vegas, NV","Los Angeles, CA",23.80%,2476,36.2333,-115.2654,34.1141,-118.4068,Las Vegas,Los Angeles
2017/1/1,"Las Vegas, NV","Seattle, WA",8.70%,2476,36.2333,-115.2654,47.6211,-122.3244,Las Vegas,Seattle
2017/1/1,"Las Vegas, NV","San Diego, CA",6.50%,2476,36.2333,-115.2654,32.8313,-117.1222,Las Vegas,San Diego
2017/1/1,"Las Vegas, NV","Phoenix, AZ",4.80%,2476,36.2333,-115.2654,33.5722,-112.0892,Las Vegas,Phoenix
2017/1/1,"Las Vegas, NV","San Jose, CA",4.60%,2476,36.2333,-115.2654,37.3012,-121.848,Las Vegas,San Jose
2017/1/1,"Las Vegas, NV","Portland, OR",4.60%,2476,36.2333,-115.2654,45.5371,-122.65,Las Vegas,Portland
2017/1/1,"Las Vegas, NV","Chicago, IL",4.30%,2476,36.2333,-115.2654,41.8375,-87.6866,Las Vegas,Chicago
2017/1/1,"Las Vegas, NV","Washington, DC",2.80%,2476,36.2333,-115.2654,38.9047,-77.0163,Las Vegas,Washington
2017/1/1,"Las Vegas, NV","Denver, CO",2.60%,2476,36.2333,-115.2654,39.762,-104.8758,Las Vegas,Denver
2017/1/1,"Las Vegas, NV","Dallas, TX",2.30%,2476,36.2333,-115.2654,32.7935,-96.7667,Las Vegas,Dallas
2017/1/1,"Los Angeles, CA","San Diego, CA",21.90%,-5328,34.1141,-118.4068,32.8313,-117.1222,Los Angeles,San Diego
2017/1/1,"Los Angeles, CA","Las Vegas, NV",9.50%,-5328,34.1141,-118.4068,36.2333,-115.2654,Los Angeles,Las Vegas
2017/1/1,"Los Angeles, CA","San Jose, CA",8.30%,-5328,34.1141,-118.4068,37.3012,-121.848,Los Angeles,San Jose
2017/1/1,"Los Angeles, CA","Seattle, WA",6.60%,-5328,34.1141,-118.4068,47.6211,-122.3244,Los Angeles,Seattle
2017/1/1,"Los Angeles, CA","Phoenix, AZ",5.10%,-5328,34.1141,-118.4068,33.5722,-112.0892,Los Angeles,Phoenix
2017/1/1,"Los Angeles, CA","Portland, OR",4.50%,-5328,34.1141,-118.4068,45.5371,-122.65,Los Angeles,Portland
2017/1/1,"Los Angeles, CA","Dallas, TX",4.10%,-5328,34.1141,-118.4068,32.7935,-96.7667,Los Angeles,Dallas
2017/1/1,"Los Angeles, CA","Sacramento, CA",2.60%,-5328,34.1141,-118.4068,38.5677,-121.4685,Los Angeles,Sacramento
2017/1/1,"Los Angeles, CA","Chicago, IL",2.60%,-5328,34.1141,-118.4068,41.8375,-87.6866,Los Angeles,Chicago
2017/1/1,"Los Angeles, CA","Denver, CO",2.10%,-5328,34.1141,-118.4068,39.762,-104.8758,Los Angeles,Denver
2017/1/1,"Miami, FL","Tampa, FL",10.40%,1202,25.784,-80.2101,27.9945,-82.4447,Miami,Tampa
2017/1/1,"Miami, FL","Orlando, FL",10.20%,1202,25.784,-80.2101,28.4773,-81.337,Miami,Orlando
2017/1/1,"Miami, FL","Atlanta, GA",8.80%,1202,25.784,-80.2101,33.7628,-84.422,Miami,Atlanta
2017/1/1,"Miami, FL","Washington, DC",6.70%,1202,25.784,-80.2101,38.9047,-77.0163,Miami,Washington
2017/1/1,"Miami, FL","Chicago, IL",6.60%,1202,25.784,-80.2101,41.8375,-87.6866,Miami,Chicago
2017/1/1,"Miami, FL","Los Angeles, CA",5.80%,1202,25.784,-80.2101,34.1141,-118.4068,Miami,Los Angeles
2017/1/1,"Miami, FL","Jacksonville, FL",4.30%,1202,25.784,-80.2101,30.3322,-81.6749,Miami,Jacksonville
2017/1/1,"Miami, FL","Cape Coral, FL",4.20%,1202,25.784,-80.2101,26.6443,-81.9957,Miami,Cape Coral
2017/1/1,"Miami, FL","Boston, MA",3.60%,1202,25.784,-80.2101,42.3188,-71.0852,Miami,Boston
2017/1/1,"Miami, FL","New York, NY",3.20%,1202,25.784,-80.2101,40.6943,-73.9249,Miami,New York
2017/1/1,"Milwaukee, WI","Chicago, IL",43.70%,116,43.0642,-87.9675,41.8375,-87.6866,Milwaukee,Chicago
2017/1/1,"Milwaukee, WI","Phoenix, AZ",4.70%,116,43.0642,-87.9675,33.5722,-112.0892,Milwaukee,Phoenix
2017/1/1,"Milwaukee, WI","Madison, WI",4.70%,116,43.0642,-87.9675,43.0822,-89.393,Milwaukee,Madison
2017/1/1,"Milwaukee, WI","Los Angeles, CA",3.60%,116,43.0642,-87.9675,34.1141,-118.4068,Milwaukee,Los Angeles
2017/1/1,"Milwaukee, WI","Atlanta, GA",3.00%,116,43.0642,-87.9675,33.7628,-84.422,Milwaukee,Atlanta
2017/1/1,"Milwaukee, WI","Denver, CO",2.30%,116,43.0642,-87.9675,39.762,-104.8758,Milwaukee,Denver
2017/1/1,"Milwaukee, WI","Seattle, WA",2.10%,116,43.0642,-87.9675,47.6211,-122.3244,Milwaukee,Seattle
2017/1/1,"Minneapolis, MN","Chicago, IL",19.10%,35,44.9635,-93.2678,41.8375,-87.6866,Minneapolis,Chicago
2017/1/1,"Minneapolis, MN","Los Angeles, CA",9.90%,35,44.9635,-93.2678,34.1141,-118.4068,Minneapolis,Los Angeles
2017/1/1,"Minneapolis, MN","Phoenix, AZ",7.50%,35,44.9635,-93.2678,33.5722,-112.0892,Minneapolis,Phoenix
2017/1/1,"Minneapolis, MN","Seattle, WA",6.70%,35,44.9635,-93.2678,47.6211,-122.3244,Minneapolis,Seattle
2017/1/1,"Minneapolis, MN","San Jose, CA",5.60%,35,44.9635,-93.2678,37.3012,-121.848,Minneapolis,San Jose
2017/1/1,"Minneapolis, MN","Washington, DC",4.10%,35,44.9635,-93.2678,38.9047,-77.0163,Minneapolis,Washington
2017/1/1,"Minneapolis, MN","San Diego, CA",3.50%,35,44.9635,-93.2678,32.8313,-117.1222,Minneapolis,San Diego
2017/1/1,"Minneapolis, MN","Denver, CO",3.40%,35,44.9635,-93.2678,39.762,-104.8758,Minneapolis,Denver
2017/1/1,"Minneapolis, MN","Portland, OR",3.30%,35,44.9635,-93.2678,45.5371,-122.65,Minneapolis,Portland
2017/1/1,"Minneapolis, MN","Milwaukee, WI",3.10%,35,44.9635,-93.2678,43.0642,-87.9675,Minneapolis,Milwaukee
2017/1/1,"Nashville, TN","Atlanta, GA",9.10%,537,36.1715,-86.7842,33.7628,-84.422,Nashville,Atlanta
2017/1/1,"Nashville, TN","Chicago, IL",7.20%,537,36.1715,-86.7842,41.8375,-87.6866,Nashville,Chicago
2017/1/1,"Nashville, TN","Los Angeles, CA",6.80%,537,36.1715,-86.7842,34.1141,-118.4068,Nashville,Los Angeles
2017/1/1,"Nashville, TN","Knoxville, TN",4.70%,537,36.1715,-86.7842,35.9692,-83.9496,Nashville,Knoxville
2017/1/1,"Nashville, TN","Seattle, WA",4.50%,537,36.1715,-86.7842,47.6211,-122.3244,Nashville,Seattle
2017/1/1,"Nashville, TN","Washington, DC",4.30%,537,36.1715,-86.7842,38.9047,-77.0163,Nashville,Washington
2017/1/1,"Nashville, TN","Denver, CO",3.10%,537,36.1715,-86.7842,39.762,-104.8758,Nashville,Denver
2017/1/1,"Nashville, TN","Tampa, FL",2.90%,537,36.1715,-86.7842,27.9945,-82.4447,Nashville,Tampa
