date,city,state,netflow,lat,lon
2019/4/1,Detroit,MI,-559,42.3834,-83.1024
2019/4/1,Houston,TX,-729,29.786,-95.3885
2019/4/1,Milwaukee,WI,-1312,43.0642,-87.9675
2019/4/1,Denver,CO,-4107,39.762,-104.8758
2019/4/1,Chicago,IL,-4669,41.8375,-87.6866
2019/4/1,Washington,DC,-7985,38.9047,-77.0163
2019/4/1,Los Angeles,CA,-16103,34.1141,-118.4068
2019/4/1,San Jose,CA,-28190,37.3012,-121.848
2019/4/1,New York,NY,-35855,40.6943,-73.9249
2019/7/1,Boston,MA,6985,42.3188,-71.0852
2019/7/1,Sacramento,CA,6896,38.5677,-121.4685
2019/7/1,Phoenix,AZ,6182,33.5722,-112.0892
2019/7/1,Las Vegas,NV,5938,36.2333,-115.2654
2019/7/1,Atlanta,GA,5827,33.7628,-84.422
2019/7/1,Austin,TX,4767,30.3005,-97.7522
2019/7/1,Dallas,TX,3475,32.7935,-96.7667
2019/7/1,Tampa,FL,3218,27.9945,-82.4447
2019/7/1,San Diego,CA,3043,32.8313,-117.1222
2019/7/1,Charlotte,NC,2848,35.2083,-80.8303
2019/7/1,Portland,OR,2454,45.5371,-122.65
2019/7/1,Miami,FL,2389,25.784,-80.2101
2019/7/1,Raleigh,NC,2364,35.8324,-78.6429
2019/7/1,Nashville,TN,2167,36.1715,-86.7842
2019/7/1,Orlando,FL,1841,28.4773,-81.337
2019/7/1,San Antonio,TX,1820,29.4632,-98.5238
2019/7/1,Cape Coral,FL,1736,26.6443,-81.9957
2019/7/1,North Port,FL,1429,27.0576,-82.1977
2019/7/1,Jacksonville,FL,1239,30.3322,-81.6749
2019/7/1,San Luis Obispo,CA,995,35.2669,-120.669
2019/7/1,Charleston,SC,947,32.8168,-79.9687
2019/7/1,Philadelphia,PA,878,40.0077,-75.1339
2019/7/1,Salt Lake City,UT,806,40.7776,-111.9311
2019/7/1,Urban Honolulu,HI,805,21.3294,-157.846
2019/7/1,Minneapolis,MN,696,44.9635,-93.2678
2019/7/1,Bellingham,WA,659,48.7548,-122.469
2019/7/1,Bakersfield,CA,613,35.3529,-119.0359
2019/7/1,Albuquerque,NM,580,35.1054,-106.6465
2019/7/1,Virginia Beach,VA,531,36.7335,-76.0435
2019/7/1,Salinas,CA,415,36.6883,-121.6317
2019/7/1,Fresno,CA,187,36.783,-119.7939
2019/7/1,Knoxville,TN,147,35.9692,-83.9496
2019/7/1,Albany,NY,106,42.6664,-73.7987
2019/7/1,Indianapolis,IN,-316,39.7771,-86.1458
2019/7/1,Detroit,MI,-425,42.3834,-83.1024
2019/7/1,Houston,TX,-836,29.786,-95.3885
2019/7/1,Milwaukee,WI,-1239,43.0642,-87.9675
